DATE,BOROUGH,LATITUDE,LONGITUDE,LOCATION,ON_STREET_NAME,CROSS STREET NAME,OFF STREET NAME,CONTRIBUTINGFACTOR,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1
9/1/2019,,40.741936,-73.97263,POINT (-73.97263 40.741936),FDR DRIVE                       ,,,Pavement Defective,Unspecified,,,,4198031,Station Wagon/Sport Utility Vehicle
9/1/2019,QUEENS,40.66543,-73.806,POINT (-73.806 40.66543),,,149-000   134 STREET                    ,Driver Inattention/Distraction,Other Vehicular,Other Vehicular,,,4198830,Station Wagon/Sport Utility Vehicle
9/1/2019,,40.709686,-74.01168,POINT (-74.01168 40.709686),LIBERTY STREET                  ,,,Driver Inattention/Distraction,Unspecified,,,,4198297,Taxi
9/1/2019,BROOKLYN,40.651733,-73.93039,POINT (-73.93039 40.651733),CHURCH AVENUE                   ,UTICA AVENUE,,Alcohol Involvement,Unspecified,,,,4198028,Station Wagon/Sport Utility Vehicle
9/1/2019,BRONX,40.889492,-73.855316,POINT (-73.855316 40.889492),,,815       EAST 229 STREET               ,Backing Unsafely,Driver Inattention/Distraction,,,,4201970,Sedan
9/1/2019,MANHATTAN,40.74729,-73.99543,POINT (-73.99543 40.74729),,,258       WEST 27 STREET                ,Backing Unsafely,,,,,4199092,Station Wagon/Sport Utility Vehicle
9/1/2019,QUEENS,40.76619,-73.74027,POINT (-73.74027 40.76619),,,246-15    NORTHERN BOULEVARD            ,Other Vehicular,Other Vehicular,,,,4197906,Sedan
9/1/2019,BRONX,40.840076,-73.84618,POINT (-73.84618 40.840076),,,2511      FRISBY AVENUE                 ,Outside Car Distraction,Unspecified,,,,4198332,Box Truck
9/1/2019,BRONX,40.853344,-73.881676,POINT (-73.881676 40.853344),SOUTHERN BOULEVARD              ,EAST 187 STREET,,Other Vehicular,Passing or Lane Usage Improper,,,,4199445,Sedan
9/1/2019,MANHATTAN,40.75044,-73.9893,POINT (-73.9893 40.75044),,,151       WEST 34 STREET                ,Driver Inattention/Distraction,Unspecified,,,,4198375,Sedan
9/1/2019,,40.689274,-73.92399,POINT (-73.92399 40.689274),GATES AVENUE                    ,,,Unspecified,,,,,4198090,Sedan
9/1/2019,,40.643894,-73.93826,POINT (-73.93826 40.643894),CLARENDON ROAD                  ,,,Unspecified,Unspecified,,,,4198017,Sedan
9/1/2019,BRONX,40.822117,-73.89689,POINT (-73.89689 40.822117),INTERVALE AVENUE                ,WESTCHESTER AVENUE,,Unspecified,Unspecified,,,,4198549,School Bus
9/1/2019,,40.650337,-73.86849,POINT (-73.86849 40.650337),BELT PARKWAY                    ,,,Following Too Closely,Unspecified,,,,4199908,Sedan
9/1/2019,BROOKLYN,40.65317,-73.866875,POINT (-73.866875 40.65317),ERSKINE STREET                  ,SEAVIEW AVENUE,,Passing or Lane Usage Improper,Unspecified,,,,4200680,Sedan
9/1/2019,,40.709747,-73.82057,POINT (-73.82057 40.709747),VAN WYCK EXPWY                  ,,,Passing Too Closely,Unspecified,Unspecified,,,4199439,Sedan
9/1/2019,QUEENS,40.788555,-73.78234,POINT (-73.78234 40.788555),BELL BOULEVARD                  ,212 STREET,,Unspecified,,,,,4198612,Sedan
9/1/2019,BROOKLYN,40.671364,-73.91975,POINT (-73.91975 40.671364),,,481       HOWARD AVENUE                 ,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4198002,Station Wagon/Sport Utility Vehicle
9/1/2019,BROOKLYN,40.66919,-73.99682,POINT (-73.99682 40.66919),HAMILTON AVENUE                 ,15 STREET,,Unspecified,Unspecified,,,,4198335,Sedan
9/1/2019,,40.58501,-73.954575,POINT (-73.954575 40.58501),BELT PARKWAY                    ,,,Unsafe Speed,Unspecified,,,,4198383,Sedan
9/1/2019,QUEENS,40.73091,-73.774925,POINT (-73.774925 40.73091),196 STREET                      ,UNION TURNPIKE,,Driver Inattention/Distraction,Unspecified,,,,4198034,Sedan
9/1/2019,QUEENS,40.7676,-73.90866,POINT (-73.90866 40.7676),,,24-57     43 STREET                     ,Failure to Yield Right-of-Way,Unspecified,,,,4198223,Station Wagon/Sport Utility Vehicle
9/1/2019,MANHATTAN,40.718555,-73.988205,POINT (-73.988205 40.718555),DELANCEY STREET                 ,ESSEX STREET,,Driver Inattention/Distraction,Unspecified,,,,4198165,Taxi
9/1/2019,BRONX,40.822056,-73.920395,POINT (-73.920395 40.822056),EAST 156 STREET                 ,PARK AVENUE,,Unspecified,Unspecified,,,,4198262,Sedan
9/1/2019,BROOKLYN,40.64953,-73.91633,POINT (-73.91633 40.64953),REMSEN AVENUE                   ,AVENUE B,,Unspecified,Unspecified,,,,4201715,Sedan
9/1/2019,BROOKLYN,40.68111,-73.86769,POINT (-73.86769 40.68111),,,67        SHERIDAN AVENUE               ,Passing Too Closely,Unspecified,Unspecified,,,4199347,Sedan
9/1/2019,MANHATTAN,40.760777,-73.96672,POINT (-73.96672 40.760777),,,200       EAST 58 STREET                ,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4198086,Station Wagon/Sport Utility Vehicle
9/1/2019,,40.65473,-73.90692,POINT (-73.90692 40.65473),LINDEN BOULEVARD                ,,,Turning Improperly,Unspecified,,,,4200727,Sedan
9/1/2019,BROOKLYN,40.679516,-73.956825,POINT (-73.956825 40.679516),,,1102      ATLANTIC AVENUE               ,Other Vehicular,Passing or Lane Usage Improper,Unspecified,,,4197925,Station Wagon/Sport Utility Vehicle
9/1/2019,,40.728848,-73.75087,POINT (-73.75087 40.728848),GRAND CENTRAL PKWY              ,,,Unsafe Lane Changing,Unspecified,,,,4198807,Station Wagon/Sport Utility Vehicle
9/1/2019,MANHATTAN,40.805412,-73.95656,POINT (-73.95656 40.805412),,,397       MANHATTAN AVENUE              ,Driver Inexperience,Unspecified,,,,4199225,Sedan
9/1/2019,MANHATTAN,40.717926,-73.98568,POINT (-73.98568 40.717926),DELANCEY STREET                 ,CLINTON STREET,,Driver Inattention/Distraction,Unspecified,,,,4197797,Taxi
9/1/2019,QUEENS,40.752987,-73.884895,POINT (-73.884895 40.752987),,,34-43     82 STREET                     ,Unspecified,,,,,4202580,Sedan
9/1/2019,QUEENS,40.753838,-73.805824,POINT (-73.805824 40.753838),46 AVENUE                       ,161 STREET,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,4198606,Station Wagon/Sport Utility Vehicle
9/1/2019,,40.75897,-73.807014,POINT (-73.807014 40.75897),159 STREET                      ,,,Passing or Lane Usage Improper,Unspecified,,,,4197914,Station Wagon/Sport Utility Vehicle
9/1/2019,QUEENS,40.683544,-73.84855,POINT (-73.84855 40.683544),101 AVENUE                      ,92 STREET,,Driver Inattention/Distraction,Unspecified,,,,4200519,Station Wagon/Sport Utility Vehicle
9/1/2019,,40.62459,-74.14129,POINT (-74.14129 40.62459),FOREST AVENUE                   ,CRYSTAL AVENUE,,Driver Inexperience,Failure to Yield Right-of-Way,,,,4198169,Sedan
9/1/2019,QUEENS,40.745224,-73.921135,POINT (-73.921135 40.745224),43 AVENUE                       ,43 STREET,,Passing or Lane Usage Improper,Unspecified,,,,4198907,Sedan
9/1/2019,BROOKLYN,40.696198,-73.98869,POINT (-73.98869 40.696198),ADAMS STREET                    ,TILLARY STREET,,Passing or Lane Usage Improper,Unspecified,,,,4197737,Station Wagon/Sport Utility Vehicle
9/1/2019,BROOKLYN,40.656685,-73.90454,POINT (-73.90454 40.656685),WATKINS STREET                  ,NEW LOTS AVENUE,,Unspecified,,,,,4199163,Sedan
9/1/2019,BROOKLYN,40.669975,-73.91988,POINT (-73.91988 40.669975),HOWARD AVENUE                   ,SAINT JOHNS PLACE,,Driver Inattention/Distraction,Unspecified,,,,4202789,Station Wagon/Sport Utility Vehicle
9/1/2019,BROOKLYN,,,,Boardwalk East                  ,Brighton 4th street,,Pavement Defective,,,,,4197952,Motorscooter
9/1/2019,,40.728855,-73.92782,POINT (-73.92782 40.728855),BROOKLYN QUEENS EXPRESSWAY      ,,,Driver Inattention/Distraction,Unspecified,,,,4198898,Taxi
9/1/2019,,40.81423,-73.93444,POINT (-73.93444 40.81423),HARLEM RIVER DRIVE              ,,,Unspecified,,,,,4198139,Sedan
9/1/2019,BRONX,40.88845,-73.841965,POINT (-73.841965 40.88845),BAYCHESTER AVENUE               ,EAST 233 STREET,,Unspecified,Unspecified,,,,4201969,Sedan
